Pipe_ID,Start_Node_ID,End_Node_ID,Pipe_Length,Pipe_Capacity,Operation_Cost
1,1,1,362,141.76,983.23
2,1,2,700,180.45,182.61
3,1,3,526,424.68,155.24
4,1,4,664,386.11,362.54
5,1,5,651,220.27,368.13
6,1,6,609,464.56,822.78
7,1,7,401,209.53,176.13
8,1,8,814,117.42,879.66
9,1,9,852,178.83,962.97
10,1,10,360,415.58,429.23
11,1,11,727,351.92,442.35
12,1,12,432,441.16,245.27
13,1,13,544,204.0,464.52
14,1,14,409,355.98,703.25
15,1,15,737,373.1,512.25
16,1,16,610,446.38,637.65
17,1,17,897,404.57,333.51
18,1,18,672,205.43,452.76
19,1,19,896,495.8,921.81
20,1,20,387,378.41,909.53
21,1,21,554,202.44,598.02
22,1,22,520,244.95,190.94
23,1,23,847,301.57,477.94
24,1,24,559,371.74,283.53
25,1,25,708,364.99,954.95
26,1,26,502,447.03,804.13
27,1,27,625,315.07,725.2
28,1,28,478,135.04,271.72
29,1,29,601,383.06,603.64
30,1,30,815,248.92,485.7
31,1,31,725,364.26,522.42
32,1,32,744,413.96,876.56
33,1,33,333,417.65,937.49
34,1,34,494,153.92,318.69
35,1,35,731,266.68,544.37
36,1,36,554,218.19,243.79
37,1,37,448,299.61,185.83
38,1,38,395,190.11,984.8
39,1,39,667,247.98,268.35
40,1,40,424,224.92,855.43
41,1,41,414,169.35,155.85
42,1,42,306,475.03,362.69
43,1,43,681,109.22,292.52
44,1,44,401,440.34,997.63
45,1,45,471,309.64,164.08
46,1,46,408,175.02,444.31
47,1,47,808,217.2,392.02
48,1,48,689,170.94,774.87
49,1,49,319,443.8,729.23
50,1,50,740,348.49,941.54
51,2,1,542,130.43,673.33
52,2,2,560,311.12,482.75
53,2,3,623,307.69,370.29
54,2,4,439,153.2,847.18
55,2,5,792,144.43,432.58
56,2,6,502,242.82,808.48
57,2,7,704,401.17,617.75
58,2,8,779,282.83,917.3
59,2,9,423,349.44,304.72
60,2,10,747,307.51,946.63
61,2,11,814,472.81,219.15
62,2,12,679,474.58,724.47
63,2,13,335,451.89,315.01
64,2,14,782,252.21,793.16
65,2,15,753,485.88,444.6
66,2,16,418,256.15,942.41
67,2,17,571,300.89,527.97
68,2,18,658,439.55,268.06
69,2,19,900,233.45,103.5
70,2,20,841,358.05,136.25
71,2,21,674,314.03,206.09
72,2,22,725,245.39,146.05
73,2,23,376,242.68,917.35
74,2,24,562,370.1,330.5
75,2,25,818,100.37,651.03
76,2,26,732,239.45,733.13
77,2,27,512,497.24,694.48
78,2,28,602,284.32,370.83
79,2,29,522,180.56,674.4
80,2,30,643,313.02,596.4
81,2,31,414,354.41,495.07
82,2,32,737,469.01,166.01
83,2,33,613,461.97,839.26
84,2,34,733,107.99,112.67
85,2,35,589,493.04,222.29
86,2,36,627,276.34,150.67
87,2,37,575,240.26,909.63
88,2,38,351,227.15,444.83
89,2,39,678,191.57,330.74
90,2,40,855,254.48,971.7
91,2,41,888,243.55,351.18
92,2,42,321,397.02,916.02
93,2,43,479,227.26,586.37
94,2,44,665,451.96,444.3
95,2,45,541,332.23,443.72
96,2,46,730,309.58,558.87
97,2,47,819,393.68,725.61
98,2,48,403,329.51,634.31
99,2,49,356,168.38,704.45
100,2,50,646,396.72,828.32
101,3,1,346,495.58,203.93
102,3,2,571,190.05,106.39
103,3,3,372,461.91,597.35
104,3,4,776,282.61,600.86
105,3,5,892,350.51,596.1
106,3,6,780,283.31,212.45
107,3,7,565,305.63,178.26
108,3,8,804,460.77,988.32
109,3,9,690,369.23,594.9
110,3,10,587,176.64,440.42
111,3,11,334,235.29,935.12
112,3,12,444,476.08,925.36
113,3,13,517,204.42,427.75
114,3,14,663,168.33,239.35
115,3,15,515,207.28,650.51
116,3,16,489,418.28,658.74
117,3,17,409,227.03,711.9
118,3,18,730,474.99,854.48
119,3,19,603,168.91,706.48
120,3,20,358,132.93,237.08
121,3,21,321,440.14,615.76
122,3,22,689,156.0,452.55
123,3,23,348,265.33,223.41
124,3,24,407,384.22,802.32
125,3,25,853,455.63,285.09
126,3,26,792,115.71,783.72
127,3,27,778,303.37,840.6
128,3,28,777,453.27,548.58
129,3,29,733,351.07,480.65
130,3,30,446,265.4,464.54
131,3,31,513,353.91,623.66
132,3,32,391,463.56,583.93
133,3,33,471,144.16,346.32
134,3,34,801,193.55,778.13
135,3,35,640,429.36,819.2
136,3,36,425,390.09,224.12
137,3,37,367,345.41,145.76
138,3,38,356,275.12,726.27
139,3,39,584,462.4,681.8
140,3,40,510,119.66,480.52
141,3,41,368,239.19,508.2
142,3,42,747,115.28,899.03
143,3,43,682,100.18,694.75
144,3,44,326,107.99,822.49
145,3,45,361,149.54,872.67
146,3,46,608,407.67,781.85
147,3,47,527,312.58,566.3
148,3,48,480,187.49,859.94
149,3,49,526,400.31,143.78
150,3,50,764,394.63,724.15
151,4,1,714,138.56,460.98
152,4,2,525,170.4,468.23
153,4,3,687,385.83,913.45
154,4,4,394,123.02,593.91
155,4,5,334,202.4,897.44
156,4,6,435,283.64,410.07
157,4,7,659,105.43,438.22
158,4,8,469,481.82,266.47
159,4,9,360,316.55,213.21
160,4,10,868,164.1,744.46
161,4,11,512,311.82,885.46
162,4,12,701,200.4,959.37
163,4,13,672,112.02,238.63
164,4,14,583,156.82,783.65
165,4,15,728,449.54,397.38
166,4,16,697,174.66,714.27
167,4,17,456,487.68,112.67
168,4,18,816,350.72,358.67
169,4,19,635,204.96,174.76
170,4,20,697,217.67,508.25
171,4,21,699,245.3,838.17
172,4,22,794,205.21,727.82
173,4,23,529,476.14,982.98
174,4,24,504,219.12,102.72
175,4,25,757,160.64,112.99
176,4,26,645,472.02,692.03
177,4,27,784,178.54,326.93
178,4,28,645,416.25,878.83
179,4,29,809,371.07,473.74
180,4,30,521,432.12,614.86
181,4,31,826,127.63,258.18
182,4,32,410,255.39,446.15
183,4,33,710,137.13,700.07
184,4,34,555,302.22,784.85
185,4,35,356,431.9,168.95
186,4,36,413,477.28,238.34
187,4,37,557,308.68,227.77
188,4,38,651,173.42,535.2
189,4,39,861,248.4,210.67
190,4,40,581,325.65,700.02
191,4,41,349,424.24,583.28
192,4,42,411,182.05,862.89
193,4,43,605,490.77,420.54
194,4,44,884,113.36,355.24
195,4,45,509,365.0,654.34
196,4,46,685,406.97,109.01
197,4,47,576,476.13,612.86
198,4,48,619,174.47,906.36
199,4,49,377,150.56,124.39
200,4,50,761,370.3,489.92
201,5,1,836,361.0,119.28
202,5,2,768,312.03,277.04
203,5,3,518,318.77,237.41
204,5,4,493,427.46,604.8
205,5,5,740,434.75,485.06
206,5,6,781,365.09,882.5
207,5,7,443,186.96,546.05
208,5,8,461,327.76,734.08
209,5,9,401,296.61,251.74
210,5,10,475,206.4,680.76
211,5,11,844,385.09,586.45
212,5,12,476,342.16,605.41
213,5,13,501,116.9,885.84
214,5,14,806,127.97,567.01
215,5,15,635,332.31,941.1
216,5,16,533,353.66,727.52
217,5,17,559,169.42,467.76
218,5,18,432,274.65,637.07
219,5,19,538,487.91,413.31
220,5,20,317,421.84,438.96
221,5,21,616,470.42,385.28
222,5,22,489,493.09,700.92
223,5,23,815,478.82,274.45
224,5,24,686,147.33,343.1
225,5,25,698,233.3,597.85
226,5,26,720,417.5,986.22
227,5,27,829,433.17,384.82
228,5,28,455,287.16,872.16
229,5,29,766,115.66,505.76
230,5,30,634,214.44,875.97
231,5,31,785,295.69,642.7
232,5,32,526,459.41,886.49
233,5,33,531,310.16,594.59
234,5,34,590,342.93,108.54
235,5,35,799,412.1,505.77
236,5,36,517,331.73,432.66
237,5,37,839,286.17,223.39
238,5,38,364,366.81,956.53
239,5,39,457,403.96,183.78
240,5,40,386,236.12,341.88
241,5,41,677,429.95,812.1
242,5,42,539,403.05,344.5
243,5,43,404,429.79,842.49
244,5,44,696,185.58,237.55
245,5,45,574,392.55,526.38
246,5,46,852,118.59,976.09
247,5,47,464,376.16,396.19
248,5,48,718,284.89,503.74
249,5,49,695,264.0,833.37
250,6,50,383,345.23,336.21
251,6,1,569,133.84,630.57
252,6,2,302,259.78,107.39
253,6,3,388,123.71,808.82
254,6,4,811,434.61,939.53
255,6,5,451,127.48,558.03
256,6,6,771,370.64,857.73
257,6,7,626,172.8,875.62
258,6,8,387,344.41,564.47
259,6,9,512,154.12,241.9
260,6,10,513,286.84,291.07
261,6,11,475,439.59,312.21
262,6,12,522,128.64,970.04
263,6,13,723,277.83,653.24
264,6,14,823,104.59,613.06
265,6,15,758,182.57,284.78
266,6,16,429,434.81,383.21
267,6,17,649,244.66,172.77
268,6,18,604,469.75,314.71
269,6,19,390,290.92,836.44
270,6,20,577,113.64,351.56
271,6,21,529,109.79,911.5
272,6,22,836,290.28,861.88
273,6,23,616,132.63,176.6
274,6,24,620,347.53,255.81
275,6,25,597,201.29,603.11
