ID_Tuberia,ID_Nodo_Inicio,ID_Nodo_Final,Longitud_(km),Costo_de_energia,Flujo_Necesario_(m3),Mano_de_obra,Material,Costo_de_Operacion
1,1,2,48.4,2871.8,4104.07,7838.41,TC,219537.131
2,1,3,19.8,2142.59,1752.32,9179.75,TP,65295.751
3,1,4,83.3,2750.04,2097.32,13939.78,TC,209518.29
4,1,5,63.2,2550.12,4072.49,6512.96,TC,274911.296
5,1,6,49.3,2502.88,2786.68,16594.17,TP,191328.131
6,1,7,72.7,2780.69,2371.12,7736.34,TD,187539.258
7,1,8,24.7,2326.44,2571.33,9481.12,TC,87644.867
8,1,9,49.8,2401.84,4278.86,10380.37,TP,247668.215
9,1,10,22.1,2695.75,2723.48,11390.01,TD,81108.674
10,1,11,26.8,2983.45,1307.14,9382.29,TD,53026.466
11,1,12,48.8,2541.79,4031.93,17227.7,TC,238923.684
12,1,13,49.1,2501.81,3440.72,12639.19,TC,200511.299
13,1,14,73.6,2321.97,1752.75,15308.86,TC,166534.748
14,1,15,46.8,2394.34,1546.21,14597.14,TD,98112.392
15,1,16,12.6,2934.38,1783.79,14148.11,TD,48047.11
16,1,17,56.9,2534.6,1939.2,7430.94,TP,135910.994
17,1,18,69.1,2238.82,1442.67,15684.84,TP,150550.321
18,1,19,34.8,2645.07,4422.27,9905.86,TD,172389.442
19,1,20,44.7,2571.67,1661.58,11602.6,TC,103530.276
20,1,21,10.5,2922.83,2497.45,16584.14,TC,67289.577
21,1,22,47.8,2071.52,4047.84,15510.51,TP,243640.853
22,1,23,42.2,2315.23,2010.5,10903.16,TD,104603.386
23,1,24,20.1,2784.95,3624.46,7546.92,TP,99032.048
24,1,25,81.4,2266.38,3198.07,16747.73,TP,314507.241
25,1,26,89.5,2223.14,1224.14,11951.71,TC,139272.603
26,1,27,71,2035.36,1346.43,17096.27,TP,150630.327
27,1,28,83.3,2403.55,3733.31,10748.84,TD,330586.417
28,1,29,95.2,2772.99,1731.93,13996.05,TC,199843.641
29,1,30,83.8,2796.6,2684.21,11567.46,TP,263592.524
30,1,31,42.2,2216.83,3387.21,15642.36,TC,181134.52
31,1,32,46.6,2708.1,1604.69,15912.39,TD,102946.478
32,1,33,19.1,2281.36,3653.43,12945.82,TC,101837.259
33,1,34,57.2,2029.36,1696.7,16587.96,TP,150503.276
34,1,35,63.1,2859.65,3312.49,9343.22,TP,240841.751
35,1,36,45.6,2784.81,1684.49,13364.1,TC,110334.984
36,1,37,37.5,2316.99,3353.12,14845.74,TC,162204.192
37,1,38,56.5,2303.62,2053.71,15360.99,TD,142915.819
38,1,39,11,2185.79,4422.32,17271.72,TP,104373.642
39,1,40,62.1,2257.15,2760.67,7089.07,TP,195670.874
40,1,41,60,2486.59,2288,13529.29,TP,181707.389
41,1,42,39.5,2350.08,2308.68,9376.46,TC,115108.798
42,1,43,50.6,2919.14,2755.92,17241.58,TD,169955.22
43,1,44,89.1,2400.73,3045.61,11303.4,TP,308805.121
44,1,45,72,2860.82,3471.21,10243.29,TP,284542.139
45,1,46,76,2978.53,4389.7,7025.1,TD,347835.89
46,1,47,98.2,2374.79,3967,18715.32,TP,449951.682
47,1,48,94.2,2726.09,1437.51,9662.15,TC,160362.477
48,1,49,62.7,2343.13,1019.8,8447,TP,92470.29
49,1,50,28.9,2697.66,3382.84,13126.96,TD,121464.872
50,2,1,72.1,2797.62,1632.91,9529.51,TD,135777.647
51,2,2,71.1,2481.66,4246.19,12134.82,TD,323801.481
52,2,3,56.8,2256.63,2349.81,9250.19,TD,150526.142
53,2,4,82.3,2287.92,3140.7,18671.68,TC,303712.394
54,2,5,96.5,2914.03,1652.09,14865.14,TC,196530.537
55,2,6,82.2,2027.66,3446.16,8165.9,TD,298367.452
56,2,7,57.9,2661.74,4312.97,11042.09,TC,277779.51
57,2,8,16,2960.62,975.34,6717.33,TP,39389.783
58,2,9,84.4,2029.82,2957.4,15219.27,TP,298814.117
59,2,10,69.2,2895.6,1471.96,16631.42,TD,131365.504
60,2,11,67.6,2302.73,2036.5,7052.11,TD,151253.506
61,2,12,86.2,2643.35,1661.93,13180.73,TD,166990.884
62,2,13,92.2,2641.59,4250.77,16216.57,TD,420509.096
63,2,14,94,2183.73,1719.07,16104.53,TC,200816.729
64,2,15,16.9,2811.34,3031.34,9787.83,TP,84383.259
65,2,16,31.3,2789.06,3964.14,14985.72,TP,173322.374
66,2,17,64,2129.61,3127.04,6713.82,TP,223073.012
67,2,18,22.4,2972.76,1015.1,18323.73,TP,82514.563
68,2,19,63.8,2812.75,1225.34,17295.85,TD,108662.802
69,2,20,25.2,2987.83,2209.11,18736.92,TC,101752.318
70,2,21,53.7,2853.45,4227.19,17010.79,TP,282587.002
71,2,22,97.9,2058.74,1458.29,6916.79,TC,160733.948
72,2,23,63.9,2597.4,4015.65,15399.85,TC,294617.09
73,2,24,88.8,2074.97,1379.14,9466.44,TC,146315.414
74,2,25,25.1,2084.85,1809.33,11158.34,TC,73163.215
75,2,26,55.8,2908.32,3106.22,13390.22,TC,207032.902
76,2,27,31.9,2751.58,1515.44,9090.01,TC,72001.139
77,2,28,38.3,2633.11,2712.01,13207.8,TD,127635.573
78,2,29,66.2,2939.97,4437.05,9475.62,TP,326047.102
79,2,30,75.1,2420.03,2161.94,16763.96,TC,203338.832
80,2,31,43.7,2988.62,4490.83,7548.81,TD,211315.987
81,2,32,29.5,2806.54,4372.47,8672.07,TC,151740.166
82,2,33,70.3,2857.97,1007.81,16978.1,TC,112756.643
83,2,34,66.6,2766.43,1932.72,17550.44,TP,185891.946
84,2,35,96.2,2227.45,3469.65,15489.75,TC,371634.205
